model,processor,screen_size,storage,ram,title
MacBook Pro,Unknown,13,Unknown,16,🔥 MacBook Pro 13吋｜2018 高配16G｜觸控列＋Touch ID｜低循環電池健康良好
MacBook Pro,M1,14,512,16,「二手」MacBook Pro 14 M1 16G/512G
MacBook Air,M2,13,512,8,MacBook Air 13吋 M2 8G/512GB
MacBook Air,Unknown,13,Unknown,Unknown,【售】macbook air
MacBook Pro,M1Pro,16,Unknown,32,超長Apple Care保固Macbook Pro 16吋M1 Pro 32GB 1TB 灰色
MacBook Air,M3,15,256,16,MacBook Air M3 15吋 16/256 保內
MacBook Pro,Intel i7,16,512,16,￼2019 Apple MacBook Pro i7 16G 512G Retina 16吋
Not Apple Computer,,,Unknown,Unknown,iMac 24吋 橘色m1 / 藍色m1、m3 /綠色m3/銀色m1
MacBook Pro,M3,14,512,8,【 品牌 】Apple 蘋果 【 型號 】macbook pro 【 尺寸 】14吋 LED 【 製造 】2023年 11月 【 記憶體 】8G 【 處理器 】M3版 【 儲存容量】512G
MacBook Pro,M3,14,Unknown,Unknown,‼️超級新‼️保固內‼️售太空灰 MacBook Pro 14--inch M3 ❤️
Not Apple Computer,,,512,16,Mac Book Pro 14” M3 8CPU/10GPU 16GB RAM 512GB SSD
MacBook Air,Unknown,13,Unknown,Unknown,MacBookAir
MacBook Pro,M4,14,512,16,全新未拆14 吋MacBook Pro M4 16GB 512GB 銀色
MacBook Pro,M4,13,Unknown,Unknown,Apple MacBook Pro M4 -太空黑色（2024版）
MacBook Pro,Intel i5,13,Unknown,8,MacbookPro/A1708/i5/8G 自售
MacBook Pro,M4,14,Unknown,16,全新未拆封 最新款M4 MacBook Pro 14 吋16記憶體/512太空黑
MacBook Pro,Unknown,13,256,Unknown,256G ssd 超值入門 2017 MacBook Pro retina 13
MacBook Pro,Unknown,13,Unknown,Unknown,"MacBook Pro 13"""
MacBook Pro,Intel i7,16,256,16,"Apple MacBook Pro 2018 i7 16G, 256GB"
MacBook Pro,Unknown,13,Unknown,Unknown,MacBook Pro13-inch A1706 2017
MacBook Air,Unknown,13,Unknown,Unknown,【商品】近全新 MacBook Air 13-inch A2337
MacBook Pro,Unknown,13,256,8,便宜MacBook Pro 13吋 8G 256G 2017
MacBook Pro,Unknown,13,Unknown,8,MacBook Pro A1708 8+128G
MacBook Air,Unknown,13,Unknown,Unknown,MacBook Air 13吋 2017
MacBook Air,Intel i5,15,Unknown,8,Macbook Air 2015 i5-1.6G/8G/128G 13吋 銀#二手筆電#板橋店4H3QD
Not Apple Computer,,,Unknown,Unknown,APPLE原廠 iPad Pro smartkeyboard 12.9吋 巧控鍵盤
MacBook Pro,Unknown,13,Unknown,Unknown,自售MACBOOK Pro 13吋 (型號A1502) 附原廠充電器 電池狀態正常 外觀有正常使用的刻碰 詳見描述及照片
MacBook Air,Unknown,13,Unknown,Unknown,Apple MacBook Air 13吋外觀完美
MacBook Air,Intel i5,13,Unknown,8,MacBook Air (2017) 1.8G i5 雙核8GB 128GB 狀況好 速度快
Not Apple Computer,,,512,16,Mac Mini M1 16/512 （2022年）
Not Apple Computer,,,Unknown,Unknown,Apple Magic Keyboard 一代
MacBook Pro,Unknown,14,Unknown,Unknown,（售）2014年末 Macbook Pro 15”Retina
Not Apple Computer,,,Unknown,Unknown,Apple Magic Keyboard A1644 藍牙無線鍵盤
MacBook Air,Unknown,13,Unknown,4,"MacBook Air A1466 作業系統13.7。剛換電池 4G ram, 128G SSD"
Not Apple Computer,,,Unknown,Unknown,現貨Mac mini m4全新
MacBook Air,Unknown,13,Unknown,Unknown,MacBook Air (A1466)
MacBook Air,Intel i5,13,256,8,可刷卡分期 MacbookAir 13” 2017 i5 1.8Ghz/8GB/256GB
Not Apple Computer,,,256,8,Mac mini M2 8GB 256GB
Not Apple Computer,,,Unknown,Unknown,"IMac 21.5吋 2017 retina 4k, 3GHz intel core i5"
MacBook Air,M4,13,256,Unknown,MacBook Air 13吋 M4 256G
MacBook Air,M1,13,256,8,MacBook Air M1 8G/256GB
MacBook Pro,Intel i9,15,512,16,MacBook pro 15寸 2019 i9 16G 512GB
MacBook Air,M4,13,256,16,最新款 MacBook Air M4 16G/256G
MacBook Air,M1,13,Unknown,Unknown,512容量 M1 CPU MacBook Air 13 玫瑰金
Not Apple Computer,,,256,Unknown,iPad PRO 12.9 M1 太空灰色 256GB + Apple Pencil + Smart keyboard + 巧控鍵盤
MacBook Pro,Intel i7,13,512,16,MacBook pro 13寸 2019 i7 16G 512GB
MacBook Pro,Unknown,13,Unknown,Unknown,2012 MacBook Pro 2000塊
MacBook Air,Unknown,13,Unknown,128,"Macbook Air 13"" 128G 2016"
MacBook Air,Unknown,15,Unknown,Unknown,全新出清 MacBook Air 15
MacBook Air,M2,13,Unknown,Unknown,稀有16G記憶體/1TB SSD M2 MacBook Air 13
MacBook Pro,M1,13,512,8,Macbook pro m1 8g+512gb
MacBook Air,M2,13,Unknown,Unknown,【超新 MacBook Air M2｜2022 年版｜附原廠配件｜電池健康 97%】
MacBook Air,M4,13,256,16,macbook air m4 16g/256g
MacBook Pro,M1,16,512,Unknown,M1 超值客製款16G記憶體/512 ssd M1 2021 Macbook Pro 13
MacBook Air,M3,13,256,16,【售】客製款電池95% MacBook Air 13吋 M3 / 16GB / 256G / 太空灰
MacBook Pro,Unknown,14,Unknown,Unknown,"MacBook Pro 14"" A2918"
MacBook Pro,M1Pro,14,Unknown,Unknown,超值M1 Pro macbook 14吋
MacBook Air,M2,13,256,16,【售】MacBook Air 13吋 M2 / 16GB / 256G / 星光
MacBook Pro,M1,16,Unknown,16,[售] MacBook Pro M1｜16G RAM 升級款｜電池健康95%
MacBook Air,M1,13,Unknown,Unknown,超值現貨M1 CPU/16G記憶體/512G容量MacBook Air 13
MacBook Pro,M1,13,Unknown,Unknown,Macbook pro M1 2020
MacBook Air,M4,13,256,16,全新未拆封M4 MacBook Air 13 16/256 星光色 2025 台灣公司貨 注音
MacBook Air,M4,13,Unknown,Unknown,2025 Apple MacBook M4 Air 13”
MacBook Pro,M1Pro,16,Unknown,Unknown,超值 M1 Pro MacBook Pro retina 16吋
MacBook Pro,Intel i9,16,Unknown,16,Apple MacBook pro 2019 i9 16吋 16G 1TB 5500M獨顯 A2141
MacBook Air,M3,13,512,16,保固還有850多天稀有釋出16G/512G ssd M3 MacBook Air 13 銀色
MacBook Unknown,Unknown,15,Unknown,Unknown,15吋MacBook
MacBook Air,M1,13,256,8,售 蘋果M1 MacBook Air 筆電 8G 256G
MacBook Pro,M2,13,Unknown,24,超級稀有保固內蘋果M2 24G/1TB SSD 13吋 MacBook Pro 13吋 你與24G最近距離
MacBook Pro,M3,14,Unknown,Unknown,M3 MacBook Pro 14寸
MacBook Air,Intel i5,13,Unknown,16,16GB 記憶體 MacBook Air i5 2020，正常無傷
Not Apple Computer,,,Unknown,Unknown,Apple 筆電 女用機
MacBook Pro,M1,13,512,8,【二手】MacBook Pro 13吋 (Late 2020 / M1)｜8G 記憶體｜512G SSD｜盒裝完整
MacBook Air,M1,13,Unknown,Unknown,M1 MacBook Air ￼外觀良好電池健康度正常￼￼￼
MacBook Pro,Intel i9,15,Unknown,32,【出售】9.5成新｜蘋果Apple A1990｜頂規 Macbook Pro 2019 15.4吋｜Core-i9 8核心｜32G RAM｜1TB PCIe SSD｜4G獨顯
MacBook Air,M2,13,Unknown,Unknown,Apple MacBook Air M2
MacBook Air,Unknown,13,Unknown,Unknown,2020 MacBooks Air
MacBook Air,M2,13,512,24,【客製】2022 M2 MacBook Air 13 吋 / 太空灰色 / 24 GB / 512 GB
Not Apple Computer,,,Unknown,Unknown,出售Mac book air m3 午夜色
MacBook Air,M4,13,Unknown,Unknown,售MacBook Air m4
MacBook Air,M2,13,256,8,Apple MacBook Air M2 A2681 太空灰 M2處理器/8GB RAM記憶體/256GB ROM容量 機況漂亮無傷 9成新以上 電池健康度100% 循環次數9次 中壢火車站實體店面
MacBook Air,M2,13,Unknown,Unknown,🍎蘋果Macbook air M2
MacBook Air,M2,13,Unknown,8,MacBook Air M2 8gb 保固至2026/02/25 （送電腦包）
MacBook Air,M2,13,256,8,【艾爾巴二手】MacBook Air M2/8G/256G A2681 星光色 13吋#二手筆電#彰化店Y507N
MacBook Air,M1,13,Unknown,Unknown,Macbook air M1 2022年生產
Not Apple Computer,,,Unknown,Unknown,Mac book air M2
MacBook Air,M2,13,256,8,【艾爾巴二手】MacBook Air M2/8G/256G A2681 13.6吋 銀#二手筆電#桃園店 2C9KK
MacBook Pro,M1Pro,14,Unknown,Unknown,Apple MACBOOK PRO M1 Pro 14吋
MacBook Air,M2,13,512,8,MacBook air M2 13吋 8/512
MacBook Pro,Intel i9,16,Unknown,32,APPLE 2019 16吋 MACBook Pro (I9 32G 1TB 5500M)
MacBook Air,M1,13,Unknown,Unknown,售 Macbook Air M1 13吋
MacBook Air,M1,13,Unknown,Unknown,2020 MacbookAir M1 配件齊全 循環次數超低 僅上班使用
MacBook Air,M3,13,Unknown,Unknown,MacBook Air13(M3)
MacBook Pro,Unknown,15,Unknown,Unknown,Macbook pro 15吋
MacBook Unknown,M2,Unknown,256,Unknown,MacBook M2晶片 8核 8GBRAM 256G.SSD
Not Apple Computer,,,Unknown,Unknown,Mac book pro 13 英吋A2289
MacBook Pro,Unknown,13,Unknown,Unknown,售macbook pro
MacBook Air,Intel i3,13,Unknown,8,<3C的家> APPLE MACBOOK AIR 2020 13吋 I3/8G 二手 玫瑰金
MacBook Pro,M1,13,512,8,MacBook Pro M1 8G/512G 銀白
MacBook Air,Intel i3,13,256,8,Ng macbook air i3 8g 256 屏瑕疵a2179
MacBook Air,M2,13,Unknown,Unknown,台中 賣 MacBook Air 星光 m2 2022
MacBook Pro,M3,14,512,8,售MacBook Pro M3 14吋 8/512 太空灰
MacBook Air,Unknown,13,Unknown,Unknown,MacBook air
MacBook Pro,M3,14,Unknown,Unknown,MacBook Pro M3 14吋
MacBook Air,M3,13,256,8,"M3 MacBook Air 13"" 8/256G 原廠延長保固到2027年"
MacBook Air,M1,13,512,Unknown,MacBookAir M1 A2337 512G
MacBook Pro,Unknown,15,Unknown,Unknown,先誠信再成交🤝MacBook pro a1707 15.4吋 二手筆電💻 白幕些微淺影 Command鍵磨損 新北市土城區面交💯 寄送需全額匯🥹
MacBook Air,M1,13,Unknown,Unknown,MacBook Air m1 收
MacBook Pro,M3Pro,14,Unknown,Unknown,9成9極新 Macbook Pro 14” M3 Pro
MacBook Pro,M3Pro,14,512,Unknown,Macbook Pro 14” M3pro晶片 512G 太空黑
MacBook Unknown,M2Max,14,Unknown,64,MacBook M2 Max 14吋 1TB 64GB
MacBook Air,M3,15,Unknown,Unknown,"徵求 Macbook Air 15吋 一台 （ M3, M4 皆可 ）"
MacBook Air,Intel i5,13,Unknown,8,MacBook Air 13吋 I5 1.6G Retina 8G 128G 2018 A1932
Not Apple Computer,,,Unknown,Unknown,surface laptop go 2 (12.4吋)
MacBook Air,Unknown,13,Unknown,Unknown,MacBook AIR 13-inch太空灰 筆記型電腦
MacBook Air,Unknown,13,Unknown,Unknown,MacBook Air A1466
MacBook Air,M4,13,Unknown,4,Macbook air a1466 2013 ram 4g ssd 128g 電池狀況良好
MacBook Air,Unknown,13,Unknown,Unknown,Macbook Air 13inch 2017
MacBook Air,Unknown,13,Unknown,Unknown,MacBook Air
MacBook Air,Unknown,13,Unknown,Unknown,MacBook Air 2013
MacBook Air,M3,13,256,Unknown,MacBook Air M3 13寸 256g 星光色 還在保固內
MacBook Air,Unknown,13,Unknown,Unknown,Macbook air 2017
MacBook Air,M3,15,256,8,MacBook Air M3 15吋8+256g 星光色 2024/09購入 還在保固期內
Not Apple Computer,,,Unknown,Unknown,原廠IPad 原廠鍵盤，九九成新品
MacBook Air,M3,13,512,16,【Apple】保固中 MacBook Air 13.6吋 M3 晶片 8核心CPU 與 10核心GPU 16G/512G SSD 午夜藍
MacBook Air,Unknown,13,Unknown,Unknown,Macbook Air 2017
MacBook Air,M2,13,Unknown,Unknown,MacBook Air m2 2022款看介紹
Not Apple Computer,,,512,24,MAXBOOK AIR M3 13 24G 512g
MacBook Air,M2,13,Unknown,Unknown,Macbook air 13 m2
MacBook Air,M3,13,Unknown,Unknown,MacBook Air M3 13吋 午夜色 保固中
Not Apple Computer,,,Unknown,Unknown,二手近全新macbook air 2019 8GB128GB筆電送滑鼠筆電包
MacBook Air,Unknown,13,Unknown,8,Macbook Air 2019蘋果筆電 Apple A1932 8G 128G (0150)
MacBook Air,M1,13,Unknown,Unknown,🍎蘋果Apple macbook air M1 2020年版～附原盒
Not Apple Computer,,,256,16,mac mini m4 16+256 首發官網買的 包裝齊全 有一處輕微磕碰非常小和外掛硬盤盒剮蹭到了
Not Apple Computer,,,Unknown,Unknown,售
MacBook Air,M2,13,Unknown,Unknown,【出售】：2023 Apple MacBook Air M2
MacBook Unknown,Unknown,16,Unknown,Unknown,16吋 MacBook Intel 2019
MacBook Air,M2,13,256,8,【售】MacBook Air 13吋 M2 / 8GB / 256G / 星光
MacBook Air,M2,13,256,16,售 Macbook air M2 13吋 16GB/256GB
MacBook Pro,M1Pro,16,Unknown,32,超級新 32記憶體/1Tb 硬碟 M1 Pro MacBook 16吋 太空灰
MacBook Pro,M1Pro,16,512,16,APPLE MACBOOK PRO 16吋 M1PRO 16/512G 電池健康96% 循環69次 2021年
MacBook Air,Unknown,13,Unknown,Unknown,MacBook air
MacBook Air,M3,13,512,16,Macbook air 16/512 M3 無盒
MacBook Air,M2,13,256,8,【售】MacBook Air 13吋 M2 / 8GB / 256G / 太空灰
MacBook Pro,Intel i7,16,512,16,MacBook Pro Retina 16吋 I7 2.6G TB 16G 512G A2141 2021 盒裝
MacBook Air,M3,13,Unknown,Unknown,Apple MacBook Air M3
MacBook Air,M2,13,Unknown,Unknown,徵 MacBook Air 13.6 m2 太空灰
MacBook Air,M1,13,512,8,【艾爾巴二手】MACBOOK AIR 2020 A2337 M1/8G/512G 13吋 銀#二手筆電#桃園店5Q6L5
Not Apple Computer,,,Unknown,Unknown,出售
MacBook Air,Unknown,13,Unknown,Unknown,售 macbook air 銀色
MacBook Pro,M1,13,Unknown,Unknown,MacBook Pro M1 13
MacBook Pro,Unknown,13,Unknown,Unknown,超值2020 MacBook Pro retina 13
MacBook Air,M2,15,Unknown,16,Macbook Air M2 15吋黑色 16g 1TB 電池🔋100%
MacBook Pro,M1Pro,14,Unknown,Unknown,Macbook Pro 14吋 M1Pro 配件多
MacBook Pro,M1Pro,16,Unknown,16,16 吋 MacBook Pro M1 Pro 1T 32G Apple Care保固到11月
MacBook Air,M1,13,256,8,可分期 2022 Macbook Air M1 / 8GB / 256GB 13吋 外觀小傷 電池超健康
MacBook Pro,M2Pro,14,Unknown,16,MacBook Pro 14吋 M2 Pro 16G 1T 2023
MacBook Pro,M1,13,Unknown,Unknown,Macbook pro m1
MacBook Pro,M2,13,512,8,MacBook Pro 13 M2 8GB/512GB 灰
MacBook Air,M1,13,Unknown,Unknown,MacBook Air M1
MacBook Pro,M2,13,256,8,【售】MacBook Pro 13吋 M2 / 2023 / 8GB / 256G / 太空灰
MacBook Pro,Intel i9,16,Unknown,32,MacBook Pro 16吋 32GB 1TB 2020年 Core i9 太空灰色-保存良好、功能高階！
MacBook Unknown,M1,Unknown,Unknown,Unknown,MacBook M1 2020
MacBook Pro,Unknown,13,Unknown,Unknown,MacBook Pro(13英吋，2019）
MacBook Pro,Unknown,13,Unknown,Unknown,MacBook Pro 2020
MacBook Air,Unknown,13,Unknown,8,MacBook Air 8G/128G 2019 A1932
Not Apple Computer,,,256,8,可分期 2020 MacbookAir 13” i3 1.1Ghz / 8GB / 256GB 金色 英文鍵盤
MacBook Pro,Unknown,13,Unknown,Unknown,Apple Macbook Pro 13” 2015
MacBook Pro,Unknown,16,Unknown,Unknown,2016 Macbook PRO 13吋 A1502
MacBook Pro,M2Pro,14,512,16,MacBook Pro M2 Pro 14吋 16/512
MacBook Pro,M3Pro,14,Unknown,Unknown,Macbook pro 14吋M3 Pro 18GB 1TB
MacBook Air,M3,13,256,Unknown,Macbook Air M3 256gb 極少使用保固中到10月8號
MacBook Pro,Unknown,13,512,Unknown,Macbook pro 512g 有盒
MacBook Pro,M1,16,Unknown,16,[售] MacBook Pro M1｜16G RAM 升級款｜電池健康95%
MacBook Pro,M1Pro,16,512,16,可分期 Macbook Pro M1Pro / 16GB / 512GB 14吋 灰色 外觀無傷 電池超健康
MacBook Pro,Unknown,13,512,Unknown,售MacBook Pro 512G 盒在
MacBook Air,M2,13,256,16,【售】MacBook Air 13吋 M2 / 16GB / 256G / 星光
MacBook Air,M1,13,512,8,可分期 Macbook Air M1 / 8GB / 512GB 13吋 電池超健康
MacBook Air,M3,13,Unknown,Unknown,MacBook Air M3 2024 A3113
MacBook Pro,M1,13,256,16,"可分期 客製款 Macbook Pro 13"" 灰色 M1 / 16GB / 256GB 13吋"
MacBook Air,M2,13,512,16,可刷卡分期 Macbook Air M2 / 16GB / 512GB 13吋 午夜色
MacBook Pro,Unknown,16,Unknown,16,MacBook Pro 16” A2141
MacBook Air,M2,15,Unknown,Unknown,MacBook Air M2 15吋
MacBook Pro,M1Pro,14,Unknown,Unknown,MacBook pro 14’ M1 Pro
MacBook Pro,Intel i5,13,256,8,MacBook Pro 13吋 1.4GHz i5 8G 256G 2020太空灰
MacBook Pro,Unknown,13,Unknown,Unknown,MacBooks pro 2020
MacBook Pro,M1,14,Unknown,32,[售]二手 MacBook pro M1 2021 32GB/1TB 14吋
MacBook Air,M2,13,Unknown,Unknown,MacBook Air M2 (13.6吋)
MacBook Air,M4,15,512,24,1. Macbook Air 15吋 (24+512) M4 晶片 $48000 2.I phone16 promax 512G $46000
Not Apple Computer,,,256,8,2020 MacbookAir 13” i3 1.1Ghz / 8GB / 256GB 灰色 英文鍵盤
MacBook Pro,Unknown,13,Unknown,16,🔥 MacBook Pro 13吋｜2018 高配16G｜觸控列＋Touch ID｜低循環電池健康良好
MacBook Pro,Intel i7,13,512,16,先誠信再成交🤝 🔥MacbookPro A1989 不完美機台🔥 二手筆電💻I7-16G 512G 詳情看內文 新北市土城區面交佳💯
MacBook Pro,Intel i7,15,256,Unknown,Macbook PRO 15吋 2019 i7 256G
MacBook Pro,Intel i7,15,512,16,MacBook Pro a1990/i7/16G/512G
MacBook Pro,Intel i5,13,256,8,MacBook Pro 2020年製造 A2289 CPU i5 RAM 8GB HDD 256GB
MacBook Pro,Intel i7,13,512,16,Apple macbook pro A1398 2016年 i7 2.2GHz/16GB/512GB/intel iris pro 1536 MB
MacBook Pro,M4Pro,13,512,24,MacBook Pro M4 pro 24G+512 太空灰 有AC保固長
MacBook Pro,Intel i5,13,Unknown,8,Macbook pro 13吋 Irisplus Graphics 640 i5 2.3 8G 128GBSSD
MacBook Pro,Unknown,13,Unknown,Unknown,售 2018 MacBook pro
MacBook Pro,Unknown,16,Unknown,Unknown,MacBook Pro 2016 暗屏 需外接HDMI OS Monterey
MacBook Air,M2,15,Unknown,Unknown,誠收 Macbook air m2 15吋
MacBook Air,Unknown,13,Unknown,128,MacBook Air 11吋128g 2011 Catalina
Not Apple Computer,,,Unknown,Unknown,iPhone 15 編織線 TypeC
MacBook Pro,M3Max,16,Unknown,16,[販售] 雙北 Macbook pro 16-inch M3 max/48G/1T
MacBook Pro,Intel i7,15,256,16,Apple MacBook Pro 15吋2017 i7-2.9 有觸控列 16G/256G 灰色 A1707
MacBook Pro,M2,13,256,8,MacBook Pro 13吋M2 8GB 256GB 2022
MacBook Pro,M3Pro,14,512,Unknown,Macbook pro 14吋M3 Pro 18GB 512GB
MacBook Pro,Unknown,13,256,8,Macbook Pro 13 8/256G A1708 全新電池
MacBook Air,Intel i5,13,Unknown,8,2016 MacBook Air A1466 i5-1.6/8G/128G/循環670 功能正常 自取 不議
MacBook Air,M2,13,256,Unknown,13.6吋（2022年 M2）MacBook Air 256G-午夜色
MacBook Pro,M2,13,256,8,【售】電池93% MacBook Pro 13吋 M2 / 2023 / 8GB / 256G / 太空灰
MacBook Air,M2,13,256,8,【售】MacBook Air 13吋 M2 / 8GB / 256G / 太空灰
MacBook Pro,Unknown,13,Unknown,Unknown,Macbook Pro 13吋 2018
MacBook Pro,M1Pro,14,Unknown,32,32G/1TB SSD 超值M1 Pro 14吋 Macbook
MacBook Pro,Unknown,16,Unknown,16,記憶體16/1tb SSD 2020高規格4孔 MacBook Pro retina 13
MacBook Pro,M2Pro,16,Unknown,32,Macbook Pro 16型 m2 Pro 12cpu 19gpu 32g
MacBook Pro,M1Pro,14,Unknown,32,售MacBook Pro 14吋 晶片為M1 pro 記憶體32g，容量1T
MacBook Air,M3,13,Unknown,Unknown,MacBook Air 13吋 M3
Not Apple Computer,,,512,16,二手Mac Mini M2 Pro晶片 10核心CPU 16核心GPU 16G//512G SSD 含Apple Care 保險
MacBook Pro,M2,13,Unknown,Unknown,"Apple MacBook Pro 13吋,M2,2022"
MacBook Pro,Unknown,15,Unknown,Unknown,先誠信再成交🤝MacBook pro a1707 15.4吋 二手筆電💻 白幕些微淺影 Command鍵磨損 新北市土城區面交💯 寄送需全額匯🥹
MacBook Pro,Intel i7,15,512,16,APPLE MacBook Pro 15” A1707 四核 i7/獨顯/16G/512G/太空灰
MacBook Pro,M1,16,512,Unknown,2021 MacBook Pro M1 16寸 512GB
MacBook Pro,Intel i5,13,Unknown,8,【二手筆電】MacBook Pro 13吋 Touch Bar Intel Core i5 / 8GB / 太空灰 A1706 台北面交
MacBook Pro,M4,14,512,16,"✅全台面交✅ 蘋果 Apple MacBook Pro 14吋 M4 / 16G / 512G / 太空黑 / 14"" / Macbook Pro 14 M4 16G 512G"
iPad Pro,M4,Unknown,512,Unknown,IPadpro M4 512
MacBook Pro,M3,14,Unknown,Unknown,‼️超級新‼️售太空灰 MacBook Pro 14--inch M3 ❤️
Not Apple Computer,,,Unknown,16,售 二手蘋果 APPLE MAC MINI I7 A1347 16G/700G
Not Apple Computer,,,Unknown,16,"Apple M4 Pro 晶片配備 12 核心 CPU、16 核心 GPU、16 核心,24G"
Not Apple Computer,,,Unknown,16,"Mac Pro 2018 13’inch, 16gb RAM, 250GB hard drive, 2.3 GHz Dual-Core Intel Core i5"
MacBook Pro,M4,14,Unknown,Unknown,徵求 MacBook Pro14吋 M4 台灣蘋果公司貨 盒裝原廠配件齊全 雙北面交
Not Apple Computer,,,512,16,ASUS ZenBook 14 i7-8th 16G/512G SSD slim & light 1.09kg only! 高階 極輕薄 商務 數字觸控板 皇家藍
Not Apple Computer,,,Unknown,Unknown,Huawei MateBookPro 觸控筆電
MacBook Pro,Unknown,16,256,Unknown,apple MacBook Pro 256GB 灰2016
MacBook Pro,Unknown,13,Unknown,Unknown,Mac MacBook Pro A1708 2018 二手筆記型電腦
Not Apple Computer,,,Unknown,16,Mac Mini A1347 i7 16g 雙硬碟 含 MSI 曲面螢幕Optix G241VC
Not Apple Computer,,,Unknown,Unknown,Lepow 15.6吋 攜帶式外接螢幕
Not Apple Computer,,,Unknown,Unknown,蘋果 原廠 充電器 Apple 67W USB-C Type-C 變壓器 電源轉接器
Not Apple Computer,,,Unknown,Unknown,Apple 67W USB-C Power Adapter (A2518
Not Apple Computer,,,Unknown,Unknown,MSI Sword 17 A12UDX
MacBook Pro,Intel i5,13,Unknown,Unknown,Apple MacBook pro i5 2.7 13吋
Not Apple Computer,,,Unknown,Unknown,Apple imac 2011 外觀美、狀況佳 藍芽連接、無線網路、使用順暢
MacBook Pro,Unknown,13,Unknown,128,Macbook Pro 2013 128G 13.3吋
Not Apple Computer,,,Unknown,Unknown,正品Apple iPhone 周邊快充配件 (封膜未拆)
MacBook Pro,Unknown,16,Unknown,16,Macbook pro 16 inch 2019
MacBook Pro,M1,13,Unknown,Unknown,MacBook Pro M1 (late 2020) 13英吋
Not Apple Computer,,,Unknown,Unknown,🔥**蘋果迷看過來 高品質 2017 MAC BOOK PRO ！**🔥
MacBook Pro,Unknown,13,512,8,MacBook Pro 13吋 2017【512GB SSD｜太空灰｜i5晶片｜8GB ram】
MacBook Air,M3,13,Unknown,24,近全新 M3 Macbook Air (太空灰) - 24GB/1TB
MacBook Air,M2,13,256,8,MacBook Air 13吋M2 8GB 256GB
MacBook Pro,M3Pro,16,Unknown,Unknown,Macbook pro 16吋M3 Pro 18GB 1TB
MacBook Air,M3,13,Unknown,24,稀有釋出24G/1Tb ssd M3 MacBook Air 13 星光色 電池100%
MacBook Air,Unknown,13,Unknown,Unknown,[今天面交再打折］Apple MacBook Air 2020 Retina 蘋果輕薄筆電 太空灰
MacBook Pro,M4,14,Unknown,16,MacBook Pro M4 14吋 16/1tb
MacBook Air,M3,13,512,24,MacBook Air M3 24g/512g 保固至2026/01/15 盒配完整 全新無傷 北市 自取 不議
MacBook Pro,Unknown,13,256,16,"Macbook Pro 13"" 2019 灰色 16G / 256G 特規款 只要12800 !!!"
MacBook Pro,M1Pro,14,Unknown,32,Macbook pro 14吋M1 Pro 32GB 1TB
MacBook Air,Unknown,13,Unknown,Unknown,"MacBook Air (13 英吋, 2013年中) 充電器全新 蘋果筆電"
MacBook Pro,M1,13,256,8,2020 MacBook Pro 8G 256G M1
MacBook Air,Unknown,15,Unknown,Unknown,MacBook Air 15 A2941 星光色
MacBook Air,M1,13,256,8,螢幕右側破圖2020 MacBook Air M1 8G 256G
MacBook Pro,M2,13,256,8,【售】MacBook Pro 13吋 M2 / 2023 / 8GB / 256G / 太空灰
MacBook Air,M2,13,256,8,【售】電池94% MacBook Air 13吋 M2 / 8GB / 256G / 太空灰
MacBook Pro,Unknown,13,512,Unknown,MacBook Pro 2020 512G 16G出售｜台北嘉義可面交｜原廠配件皆在｜電池健康
MacBook Air,M2,13,256,8,【售】MacBook Air 13吋 M2 / 8GB / 256G / 太空灰
MacBook Pro,M1Pro,14,Unknown,16,[販售] 雙北 MacBook Pro M1 Pro 14 16G 1TB
MacBook Pro,M1Max,14,Unknown,32,電池100%稀有釋出M1 Max MacBook Pro 14吋32/2TB
Not Apple Computer,,,256,8,MaBook Air 13吋 M1 8C/7GPU 8G 256G SSD 金色
Not Apple Computer,,,Unknown,Unknown,2021 MAC PRO M1 touchbar壞掉不修了
MacBook Pro,Unknown,16,512,32,2019 Macbook pro 16吋 i7六核心 32GB 512GB 獨顯
MacBook Air,M3,13,256,16,【售】客製款MacBook Air 13吋 M3 / 16GB / 256G / 10核心GPU / 太空灰
MacBook Pro,M4,14,Unknown,16,Apple 蘋果 MacBook Pro 14 Apple M4晶片 10核心 CPU、10核心 GPU、16GB 統一記憶體、1TB SSD
MacBook Pro,Unknown,14,Unknown,Unknown,售MacBook Pro 14
MacBook Air,Unknown,13,Unknown,Unknown,Macbook Air 美版（A1932）
MacBook Pro,M3Pro,14,512,Unknown,【售】電池100% MacBook Pro 14吋 M3 Pro / 18GB / 512G / 銀
MacBook Air,M3,13,256,8,【售】MacBook Air 13吋 M3（星光色） Apple MacBook Air 13.6吋 M3 / 8核心CPU + 8核心GPU / 256GB SSD / 8GB 統一記憶體
Not Apple Computer,,,Unknown,Unknown,Mac Mini M4
Not Apple Computer,,,Unknown,Unknown,【全新未拆封】Apple Magic Mouse 2 / Magic Keyboard（無 Touch ID）2020 年款
MacBook Pro,Unknown,16,Unknown,Unknown,升級售出 MacBook Pro 2016（TouchBar款）
MacBook Pro,M4Max,14,Unknown,128,一台頂規現貨二手 台版 MacBook Pro 14 m4 max 128G 記憶體 2T SSD 納米螢幕 全部盒裝都在 無任何傷痕問題
MacBook Air,Unknown,13,Unknown,Unknown,Macbook Air 13寸
MacBook Air,M3,13,512,16,2024 MacBook Air 13吋 M3 8C10G 16G 512 GB SSD 公司貨 全新未拆封 保固未啟用
